event_time,event_type,event_label,track_ids,duration_s,details
2026-06-29T17:20:19.381,KS,快速通过,1,0.3,"{""current_speed_m_s"": 0.72, ""average_speed_m_s"": 0.474, ""speed_ratio"": 1.52, ""acceleration_m_s2"": 0.0, ""trigger_reason"": ""speed_threshold"", ""speed_duration_s"": 0.3, ""position"": {""x"": 0.76, ""y"": 1.08}}"
2026-06-29T17:20:19.383,KS,快速通过,3,0.3,"{""current_speed_m_s"": 0.7, ""average_speed_m_s"": 0.549, ""speed_ratio"": 1.28, ""acceleration_m_s2"": 0.2, ""trigger_reason"": ""speed_threshold"", ""speed_duration_s"": 0.3, ""position"": {""x"": -0.89, ""y"": 2.09}}"
2026-06-29T17:20:19.387,KA,船靠岸送人上岸,12,3.0,"{""path"": ""deviation_stop"", ""position"": {""x"": 0.76, ""y"": 2.15}, ""speed_m_s"": 0.0, ""deviation_m"": 0.76}"
2026-06-29T17:20:19.392,KA,船靠岸送人上岸,15,3.0,"{""path"": ""deviation_stop"", ""position"": {""x"": 0.79, ""y"": 1.36}, ""speed_m_s"": 0.0, ""deviation_m"": 0.79}"
2026-06-29T17:20:19.393,KA,船靠岸送人上岸,16,3.0,"{""path"": ""motion_feature"", ""position"": {""x"": -0.91, ""y"": 0.26}, ""speed_m_s"": 0.0, ""shore_distance_m"": 0.21}"
2026-06-29T17:20:19.400,KA,船靠岸送人上岸,15,9.9,"{""path"": ""deviation_stop"", ""position"": {""x"": 0.83, ""y"": 1.2}, ""speed_m_s"": 0.0, ""deviation_m"": 0.83}"
2026-06-29T17:20:19.402,KA,船靠岸送人上岸,16,12.6,"{""path"": ""deviation_stop"", ""position"": {""x"": -0.95, ""y"": 0.07}, ""speed_m_s"": 0.0, ""deviation_m"": 0.95}"
2026-06-29T17:20:19.409,KA,船靠岸送人上岸,15,9.9,"{""path"": ""deviation_stop"", ""position"": {""x"": 0.81, ""y"": 1.21}, ""speed_m_s"": 0.0, ""deviation_m"": 0.81}"
2026-06-29T17:20:19.410,KA,船靠岸送人上岸,16,9.9,"{""path"": ""deviation_stop"", ""position"": {""x"": -0.95, ""y"": 0.07}, ""speed_m_s"": 0.0, ""deviation_m"": 0.95}"
2026-06-29T17:20:19.417,KA,船靠岸送人上岸,15,3.0,"{""path"": ""motion_feature"", ""position"": {""x"": 0.57, ""y"": 0.29}, ""speed_m_s"": 0.0, ""shore_distance_m"": 0.13}"
2026-06-29T17:20:19.423,KA,船靠岸送人上岸,45,3.0,"{""path"": ""motion_feature"", ""position"": {""x"": -0.37, ""y"": 0.46}, ""speed_m_s"": 0.15, ""shore_distance_m"": 0.04}"
2026-06-29T17:20:19.440,KA,船靠岸送人上岸,55,3.0,"{""path"": ""motion_feature"", ""position"": {""x"": -0.94, ""y"": 0.12}, ""speed_m_s"": 0.0, ""shore_distance_m"": 0.24}"
2026-06-29T17:20:19.447,KA,船靠岸送人上岸,55,13.0,"{""path"": ""deviation_stop"", ""position"": {""x"": -0.94, ""y"": 0.18}, ""speed_m_s"": 0.0, ""deviation_m"": 0.94}"
